"Symbol","Name","IPOyear","Sector","Industry"
"LMCA","Liberty Media Corporation","n/a","Consumer Services","Broadcasting"
"LMCB","Liberty Media Corporation","n/a","Consumer Services","Broadcasting"
"LPHI","Life Partners Holdings Inc","n/a","Finance","Life Insurance"
"LIFE","Life Technologies Corporation","1983","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"LPNT","LifePoint Hospitals, Inc.","n/a","Health Care","Hospital/Nursing Management"
"LCUT","Lifetime Brands, Inc.","1991","Capital Goods","Industrial Machinery/Components"
"LFVN","Lifevantage Corporation","n/a","Health Care","Major Pharmaceuticals"
"LWAY","Lifeway Foods, Inc.","n/a","Consumer Non-Durables","Packaged Foods"
"LGND","Ligand Pharmaceuticals Incorporated","n/a","Health Care","Major Pharmaceuticals"
"LTBR","Lightbridge Corporation","n/a","Consumer Services","Professional Services"
"LPTH","LightPath Technologies, Inc.","1996","Technology","Semiconductors"
"LIWA","Lihua International, Inc.","2009","Capital Goods","Metal Fabrications"
"LIME","Lime Energy Co.","n/a","Basic Industries","Engineering & Construction"
"LLNW","Limelight Networks, Inc.","2007","Miscellaneous","Business Services"
"LMNR","Limoneira Co","n/a","Consumer Non-Durables","Farming/Seeds/Milling"
"LINC","Lincoln Educational Services Corporation","2005","Consumer Services","Other Consumer Services"
"LECO","Lincoln Electric Holdings, Inc.","n/a","Technology","Industrial Machinery/Components"
"LLTC","Linear Technology Corporation","1986","Technology","Semiconductors"
"LTON","Linktone Ltd.","2004","Technology","Telecommunications Equipment"
"LNCO","Linn Co, LLC","n/a","Energy","Oil & Gas Production"
"LINE","Linn Energy, LLC","1983","Energy","Oil & Gas Production"
"LIOX","Lionbridge Technologies, Inc.","1999","Miscellaneous","Business Services"
"LPDX","LipoScience, Inc.","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances"
"LIQD","Liquid Holdings Group, Inc.","n/a","n/a","n/a"
"LQDT","Liquidity Services, Inc.","2006","Miscellaneous","Business Services"
"LFUS","Littelfuse, Inc.","n/a","Consumer Durables","Electrical Products"
"LIVE","LiveDeal, Inc.","n/a","Technology","EDP Services"
"LPSN","LivePerson, Inc.","2000","Technology","Computer Software: Prepackaged Software"
"LKQ","LKQ Corporation","n/a","Consumer Services","Motor Vehicles"
